product_key,product_name,abc_class,sales_qty_60d,revenue_60d,gross_profit_year_qty,avg_weekly_sales_gpy,avg_daily_sales_1c,free_stock_qty,required_purchase_qty_1c,planned_sales_qty,gross_qty_period,radiator_abc_class,radiator_qty_jan_2026,radiator_revenue_jan_2026,radiator_gross_profit_jan_2026,radiator_qty_feb_2026,radiator_revenue_feb_2026,radiator_gross_profit_feb_2026,radiator_qty_mar_2026,radiator_revenue_mar_2026,radiator_gross_profit_mar_2026,radiator_qty_apr_2026,radiator_revenue_apr_2026,radiator_gross_profit_apr_2026,avg_daily_sales_model,product_group,priority_flag,special_order_flag,procurement_scope_flag,avg_weekly_sales_fallback,procurement_daily_sales,days_of_cover,velocity_segment,critical_flag,preferred_daily_sales,target_cover_days,base_need,recommended_order_qty,avg_weekly_sales,target_stock_qty,radiator_monthly_demand,radiator_to_order_qty,radiator_target_stock_qty,radiator_coverage,hard_cap,recommended_order_qty_display,visible_in_dashboard,metrics_calculated_at,analysis_period_days
6300-03 0040,6300-03 0040,B,14.0,0.0,0.0,0.0,0.8,0.0,34.2,35.2,14.0,,,,,,,,,,,,,,0.23333333333333334,прочее,False,False,False,1.6333333333333333,0,0.0,MEDIUM,False,0.8,14,11.200000000000001,3,1.6333333333333333,3,,,,,10000,3,False,2026-04-10 13:15:49.644055,60
6300-03 0047,6300-03 0047,C,11.0,0.0,0.0,0.0,0.577,0.0,25.385,25.385,11.0,,,,,,,,,,,,,,0.18333333333333332,прочее,False,False,False,1.2833333333333332,0,0.0,MEDIUM,False,0.577,7,4.039,2,1.2833333333333332,2,,,,,10000,2,False,2026-04-10 13:15:49.644055,60
6302-03 0052,6302-03 0052,B,19.0,0.0,0.0,0.0,2.333,0.0,102.667,102.667,19.0,,,,,,,,,,,,,,0.31666666666666665,прочее,False,False,False,2.216666666666667,0,0.0,MEDIUM,False,2.333,14,32.662000000000006,4,2.216666666666667,4,,,,,10000,4,False,2026-04-10 13:15:49.644055,60
6302-03 0053,6302-03 0053,B,22.0,0.0,0.0,0.0,0.733,0.0,76.267,79.267,22.0,,,,,,,,,,,,,,0.36666666666666664,прочее,False,False,False,2.5666666666666664,0,0.0,MEDIUM,False,0.733,14,10.262,4,2.5666666666666664,4,,,,,10000,4,False,2026-04-10 13:15:49.644055,60
6302-03 0054,6302-03 0054,C,14.0,0.0,0.0,0.0,0.065,1.0,1.833,2.833,14.0,,,,,,,,,,,,,,0.23333333333333334,прочее,False,False,False,1.6333333333333333,0,4.285714285714286,MEDIUM,False,0.065,7,0.0,2,1.6333333333333333,3,,,,,10000,2,False,2026-04-10 13:15:49.644055,60
6302-04 0267,6302-04 0267,B,21.0,0.0,0.0,0.0,0.068,0.0,2.0,3.0,21.0,,,,,,,,,,,,,,0.35,прочее,False,False,False,2.4499999999999997,0,0.0,MEDIUM,False,0.068,14,0.9520000000000001,4,2.4499999999999997,4,,,,,10000,4,False,2026-04-10 13:15:49.644055,60
6500-02 0042,6500-02 0042,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,0.08333333333333333,прочее,False,False,False,0.5833333333333333,0,0.0,SLOW,False,0.08333333333333333,7,0.5833333333333333,0,0.5833333333333333,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
6500-02 0044,6500-02 0044,B,11.0,0.0,0.0,0.0,0.591,0.0,25.0,26.0,11.0,,,,,,,,,,,,,,0.18333333333333332,прочее,False,False,False,1.2833333333333332,0,0.0,MEDIUM,False,0.591,14,8.274,2,1.2833333333333332,2,,,,,10000,2,False,2026-04-10 13:15:49.644055,60
6500-02 0045,6500-02 0045,C,1.0,0.0,0.0,0.0,1.0,0.0,44.0,44.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,1.0,7,7.0,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
6500-02 0114,6500-02 0114,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,0.016666666666666666,7,0.11666666666666667,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
6500-02 0115,6500-02 0115,C,8.0,0.0,0.0,0.0,0.5,0.0,22.0,22.0,8.0,,,,,,,,,,,,,,0.13333333333333333,прочее,False,False,False,0.9333333333333333,0,0.0,MEDIUM,False,0.5,7,3.5,0,0.9333333333333333,2,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
6500-03 0042,6500-03 0042,B,12.0,0.0,0.0,0.0,0.545,0.0,23.0,24.0,12.0,,,,,,,,,,,,,,0.2,прочее,False,False,False,1.4000000000000001,0,0.0,MEDIUM,False,0.545,14,7.630000000000001,3,1.4000000000000001,3,,,,,10000,3,False,2026-04-10 13:15:49.644055,60
6500-03 0044,6500-03 0044,B,6.0,0.0,0.0,0.0,0.523,0.0,22.0,23.0,6.0,,,,,,,,,,,,,,0.1,прочее,False,False,False,0.7000000000000001,0,0.0,MEDIUM,False,0.523,14,7.322,0,0.7000000000000001,2,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
6500-04 0245,6500-04 0245,B,3.0,0.0,0.0,0.0,0.583,0.0,25.667,25.667,3.0,,,,,,,,,,,,,,0.05,прочее,False,False,False,0.35000000000000003,0,0.0,SLOW,False,0.583,14,8.161999999999999,0,0.35000000000000003,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
6502-02 0042,6502-02 0042,C,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,0.11666666666666667,прочее,False,False,False,0.8166666666666667,0,0.0,MEDIUM,False,0.11666666666666667,7,0.8166666666666667,0,0.8166666666666667,2,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
